restaurantid,name,address,city,state,country,postalCode,coordinates,stars,priceRange,cuisine
,Malaga Restaurant,406 East 73 Street,Manhattan,,US,10021.0,"(-73.9550129, 40.768019)",,,Spanish
,Maloney'S Bar,8769 Sutphin Boulevard,Queens,,US,11435.0,"(-73.809167, 40.705421)",,,American
,Ni-Ni'S Cafe,710 New Dorp Lane,Staten Island,,US,10306.0,"(-74.1003379, 40.5655379)",,,Italian
,Roadhouse Restaurant,1402 Clove Road,Staten Island,,US,10301.0,"(-74.1005771, 40.6134163)",,,Italian
,Terrace Cafe,2300 Southern Boulevard,Bronx,,US,10460.0,"(-73.8786113, 40.8502883)",,,Café/Coffee/Tea
,Maggies Place,21 East   47 Street,Manhattan,,US,10017.0,"(-73.977114, 40.756295)",,,American
,Brady'S Bar,1583 2 Avenue,Manhattan,,US,10028.0,"(-73.9537859, 40.775493)",,,American
,Jimmy'S Corner,140 West   44 Street,Manhattan,,US,10036.0,"(-73.984838, 40.756594)",,,American
,Hatsuhana Restaurant,17 East   48 Street,Manhattan,,US,10017.0,"(-73.97691499999999, 40.757028)",,,Japanese
,Morris Park Bake Shop,1007 Morris Park Ave,Bronx,,US,10462.0,"(-73.856077, 40.848447)",,,Bakery
,La Mangeoire,1008 2 Avenue,Manhattan,,US,10022.0,"(-73.9668354, 40.7568328)",,,French
,Viand Coffee Shop,673 Madison Avenue,Manhattan,,US,10065.0,"(-73.970169, 40.764834)",,,Greek
,Jody'S Club,372 Forest Avenue,Staten Island,,US,10301.0,"(-74.1018239, 40.630788)",,,American
,Seashore Restaurant,591 City Island Ave,Bronx,,US,10464.0,"(-73.790804, 40.8541848)",,,Seafood
,Dan Tempura,2018 Broadway,Manhattan,,US,10023.0,"(-73.9818416, 40.7760336)",,,Japanese
,Pergola Des Artistes,252 West   46 Street,Manhattan,,US,10036.0,"(-73.9873049, 40.7592843)",,,French
,Caffe Reggio,119 Mac Dougal Street,Manhattan,,US,10012.0,"(-74.00041689999999, 40.7302678)",,,Café/Coffee/Tea
,White Castle,4202 Ft Hamilton Parkway,Brooklyn,,US,11219.0,"(-73.993031, 40.6417669)",,,Hamburgers
,White Castle,846 Empire Boulevard,Brooklyn,,US,11213.0,"(-73.9321666, 40.6632351)",,,Hamburgers
,Nectar Coffee Shop,1022 Madison Avenue,Manhattan,,US,10075.0,"(-73.9624221, 40.77620840000001)",,,American
,The New Amity Restaurant,1134 Madison Avenue,Manhattan,,US,10028.0,"(-73.9598324, 40.7798381)",,,American
,Reme Restaurant,4021 Broadway,Manhattan,,US,10032.0,"(-73.9395471, 40.8420198)",,,American
,Sparks Steak House,210 East   46 Street,Manhattan,,US,10017.0,"(-73.97212999999999, 40.7528838)",,,Steak
,John Mulligan'S Fireside Pub,4272 Katonah Avenue,Bronx,,US,10470.0,"(-73.86720489999999, 40.8977501)",,,American
,Ear Inn,326 Spring Street,Manhattan,,US,10013.0,"(-74.0094737, 40.7258405)",,,American
,Burger King,22210 Northern Boulevard,Queens,,US,11361.0,"(-73.759249, 40.761574)",,,Hamburgers
,Jim Brady'S Restaurant,75 Maiden Lane,Manhattan,,US,10038.0,"(-74.0075542, 40.7077614)",,,Irish
,Tony'S Pizzeria,336 Knickerbocker Avenue,Brooklyn,,US,11237.0,"(-73.922642, 40.701015)",,,Pizza/Italian
,The Players Club,16 Gramercy Park South,Manhattan,,US,10003.0,"(-73.986685, 40.73756400000001)",,,American
,Mcdonald'S,16011 Willets Point Boulevard,Queens,,US,11357.0,"(-73.802319, 40.780748)",,,Hamburgers
,Coliseum Bar Restaurant,312 West   58 Street,Manhattan,,US,10019.0,"(-73.9832993, 40.76754440000001)",,,American
,Mariella Pizza,180 3 Avenue,Manhattan,,US,10003.0,"(-73.98621539999999, 40.7350907)",,,Pizza
,West Bank Cafe,407 West   42 Street,Manhattan,,US,10036.0,"(-73.99283419999999, 40.75885830000001)",,,American
,Manducatis,1327 Jackson Avenue,Queens,,US,11101.0,"(-73.9491317, 40.7445755)",,,Italian
,Sizzler,10027 Metropolitan Ave,Queens,,US,11375.0,"(-73.85223080000002, 40.7109144)",,,American
,Mariner Inn,3501 Avenue S,Brooklyn,,US,11234.0,"(-73.9321411, 40.6094715)",,,American
,Green House Cafe,7717 Third Avenue,Brooklyn,,US,11209.0,"(-74.028273, 40.62951959999999)",,,American
,Mcdonald'S,3660 East Tremont Avenue,Bronx,,US,10465.0,"(-73.82339809999999, 40.8276846)",,,Hamburgers
,Burger King,92-83 Queens Boulevard,Queens,,US,11374.0,"(-73.8664386, 40.7319364)",,,Hamburgers
,Burger King,154-05 Rockaway Boulevard,Queens,,US,11434.0,"(-73.780574, 40.6679415)",,,Hamburgers
,Henry'S End,44 Henry Street,Brooklyn,,US,11201.0,"(-73.992182, 40.699702)",,,American
,Victor'S Cafe,236 West   52 Street,Manhattan,,US,10019.0,"(-73.9840766, 40.7628868)",,,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
,Petes Pizzeria & Restaurant,7522 3 Avenue,Brooklyn,,US,11209.0,"(-74.0282415, 40.6309663)",,,Pizza/Italian
,Ihop,5655 Broadway,Bronx,,US,10463.0,"(-73.90401159999999, 40.8803571)",,,Pancakes/Waffles
,Hill Tap Tavern,8303 Grand Avenue,Queens,,US,11373.0,"(-73.884337, 40.733269)",,,American
,Burke'S Pub,69-47 Grand Avenue,Queens,,US,11378.0,"(-73.894071, 40.726984)",,,American
,Tony'S Pier Restaurant,1 City Island Ave,Bronx,,US,10464.0,"(-73.78309349999999, 40.8374725)",,,Seafood
,Tropical House Baking Co.,267 Schenectady Avenue,Brooklyn,,US,11213.0,"(-73.933605, 40.669476)",,,Bakery
,Quality Cafe & Restaurant,2942 Westchester Avenue,Bronx,,US,10461.0,"(-73.832183, 40.84710099999999)",,,American
,Kasteli Ii,372 8 Avenue,Manhattan,,US,10001.0,"(-73.995662, 40.748717)",,,American
,La Mediterranee Restaurant,947 2 Avenue,Manhattan,,US,10022.0,"(-73.96864699999999, 40.755183)",,,French
,Chez Napolean,365 West 50 Street,Manhattan,,US,10019.0,"(-73.9883256, 40.76344890000001)",,,French
,Casa Bella,127 Mulberry Street,Manhattan,,US,10013.0,"(-73.9982079, 40.7180815)",,,Italian
,Turkey'S Nest Tavern,94 Bedford Avenue,Brooklyn,,US,11249.0,"(-73.9550857, 40.72063869999999)",,,American
,Paris Blues,2021 7 Avenue,Manhattan,,US,10027.0,"(-73.9500845, 40.8064061)",,,American
,Vegas Diner,1619 86 Street,Brooklyn,,US,11214.0,"(-74.0065917, 40.609992)",,,American
,Portofino,10932 Ascan Avenue,Queens,,US,11375.0,"(-73.8397963, 40.7191179)",,,Italian
,Dunkin' Donuts/Baskin' Robbins,153-67 Horace Harding Expressway,Queens,,US,11367.0,"(-73.8153553, 40.7394901)",,,Donuts
,Broadway Restaurant,2664 Broadway,Manhattan,,US,10025.0,"(-73.9689746, 40.7979687)",,,American
,Andrews Coffee Shop,463 7 Avenue,Manhattan,,US,10018.0,"(-73.9896961, 40.7516989)",,,American
,Caesar'S Palace,493 Amsterdam Avenue,Manhattan,,US,10024.0,"(-73.97579000000002, 40.786074)",,,Pizza
,Mezzaluna,1295 Third Avenue,Manhattan,,US,10021.0,"(-73.9592566, 40.7711518)",,,Italian
,Yankee Clipper,0 Laguardia Airport Bldg,Queens,,US,11371.0,"(-73.8865891, 40.7723001)",,,American
,Arriba Arriba,762 9 Avenue,Manhattan,,US,10019.0,"(-73.98819809999999, 40.7641429)",,,Mexican
,Barney Greengrass,541 Amsterdam Avenue,Manhattan,,US,10024.0,"(-73.974367, 40.788002)",,,American
,Regina Caterers,6409 11 Avenue,Brooklyn,,US,11219.0,"(-74.00528899999999, 40.628886)",,,American
,Taste The Tropics Ice Cream,1839 Nostrand Avenue,Brooklyn,,US,11226.0,"(-73.9482609, 40.6408271)",,,"Ice Cream, Gelato, Yogurt, Ices"
,C & C Catering Service,7715 18 Avenue,Brooklyn,,US,11214.0,"(-73.9973325, 40.61174889999999)",,,American
,Nordic Delicacies,6909 3 Avenue,Brooklyn,,US,11209.0,"(-74.0259567, 40.6353674)",,,Delicatessen
,Glorious Food,522 East   74 Street,Manhattan,,US,10021.0,"(-73.95171, 40.767461)",,,American
,Angelika Film Center,18 West Houston Street,Manhattan,,US,10012.0,"(-73.996984, 40.72589)",,,American
,Kosher Bagel Hole,1423 Avenue J,Brooklyn,,US,11230.0,"(-73.9615132, 40.6253268)",,,Jewish/Kosher
,Sonny'S Heros,1031 East   92 Street,Brooklyn,,US,11236.0,"(-73.9075537, 40.6438684)",,,American
,B & M Hot Bagel & Grocery,203 Giffords Lane,Staten Island,,US,10308.0,"(-74.15235919999999, 40.5563756)",,,Delicatessen
,Golden Pavillion,976 Rutland Road,Brooklyn,,US,11212.0,"(-73.92701509999999, 40.6620192)",,,Chinese
,Isle Of Capri Resturant,1028 3 Avenue,Manhattan,,US,10065.0,"(-73.966032, 40.762832)",,,Italian
,Peter Luger Steakhouse,178 Broadway,Brooklyn,,US,11211.0,"(-73.96252129999999, 40.7098035)",,,Steak
,7B Bar,108 Avenue B,Manhattan,,US,10009.0,"(-73.98146, 40.7250067)",,,American
,Junior'S,386 Flatbush Avenue Extension,Brooklyn,,US,11201.0,"(-73.9818918, 40.6901211)",,,American
,Great Kills Yacht Club,37 Mansion Ave,Staten Island,,US,10308.0,"(-74.138263, 40.546681)",,,American
,Old Homestead,56 9 Avenue,Manhattan,,US,10011.0,"(-74.004758, 40.741207)",,,American
,Labetti'S Post # 2159,390 Hylan Boulevard,Staten Island,,US,10305.0,"(-74.07444319999999, 40.6096914)",,,American
